City,State,HDD,CDD,Grid_Fossil_Pct,Grid_Renew_Pct,ASHRAE_Zone,lat,lon
Albuquerque,Newmexico,4200,1200,0.606818182,0.393181818,4A/4B (Mixed),39.8,-98.5
Atlanta,Georgia,2800,1600,0.594915254,0.115254237,3A/3B (Warm),33.7544657,-84.3898151
Baltimore,Maryland,4600,1100,0.495934959,0.111111111,4A/4B (Mixed),39.2908816,-76.610759
Boston,Massachusetts,5600,800,0.657407407,0.342592593,5A/5B (Cool),42.3588336,-71.0578303
Chicago,Illinois,6400,800,0.314127424,0.15734072,5A/5B (Cool),41.8755616,-87.6244212
Denver,Colorado,6000,700,0.646126761,0.353873239,5A/5B (Cool),39.7392364,-104.984862
Detroit,Michigan,6400,700,0.623005877,0.124265323,5A/5B (Cool),42.3315509,-83.0466403
Duluth,Minnesota,9500,200,0.443910256,0.328525641,7/8 (Very Cold),46.7838287,-92.1052679
Fairbanks,Alaska,14000,100,0.703125,0.296875,7/8 (Very Cold),64.837845,-147.716675
Helena,Montana,7800,400,0.525083612,0.474916388,6A/6B (Cold),46.5927425,-112.036277
Houston,Texas,1500,2800,0.646071429,0.280714286,2A/2B (Hot),29.7589382,-95.3676974
Lasvegas,Nevada,2100,3200,0.636568849,0.363431151,2A/2B (Hot),39.8,-98.5
Losangeles,California,1300,600,0.465373961,0.459833795,4A/4B (Mixed),34.0802852,-118.3617435
Miami,Florida,150,4500,0.805220884,0.072289157,1A/1B (Very Hot),25.7741566,-80.1935973
Minneapolis,Minnesota,7800,700,0.443910256,0.328525641,6A/6B (Cold),44.9772995,-93.2654692
Newyork,Newyork,4800,1100,0.47265625,0.3125,4A/4B (Mixed),39.8,-98.5
Phoenix,Arizona,1100,4500,0.542274052,0.149659864,1A/1B (Very Hot),33.4484367,-112.074141
Sacramento,California,2700,1200,0.465373961,0.459833795,4A/4B (Mixed),38.5810606,-121.493895
Sanfrancisco,California,3000,100,0.465373961,0.459833795,4A/4B (Mixed),39.8,-98.5
Seattle,Washington,4800,200,0.143717728,0.78313253,4A/4B (Mixed),47.6038321,-122.330062
Birmingham,AL,2500,2200,0.58,0.11,3A/3B (Warm),33.5206824,-86.8024326
Montgomery,AL,2500,2200,0.58,0.11,3A/3B (Warm),32.3777111,-86.3090775
Mobile,AL,2500,2200,0.58,0.11,3A/3B (Warm),30.6913462,-88.0437509
Huntsville,AL,2500,2200,0.58,0.11,3A/3B (Warm),34.729847,-86.5859011
Anchorage,AK,10500,0,0.7,0.3,7/8 (Very Cold),61.2163129,-149.894852
Juneau,AK,10500,0,0.7,0.3,7/8 (Very Cold),58.3019613,-134.4196751
Sitka,AK,10500,0,0.7,0.3,7/8 (Very Cold),57.0524973,-135.337612
Tuscaloosa,AL,2500,2200,0.58,0.11,3A/3B (Warm),33.2095614,-87.5675258
Fayetteville,AR,3200,1800,0.53,0.11,4A/4B (Mixed),36.0625843,-94.1574328
Little Rock,AR,3200,1800,0.53,0.11,4A/4B (Mixed),34.7465071,-92.2896267
